DB_Number,Size,Has_Data,First_32_Bytes_Hex,First_INT,First_REAL,Timestamp
162,0,False,,,,2025-07-21T15:43:12.024324
163,0,False,,,,2025-07-21T15:43:12.058961
164,0,False,,,,2025-07-21T15:43:12.097129
165,0,False,,,,2025-07-21T15:43:12.125235
166,0,False,,,,2025-07-21T15:43:12.153298
167,0,False,,,,2025-07-21T15:43:12.189042
168,0,False,,,,2025-07-21T15:43:12.218413
169,0,False,,,,2025-07-21T15:43:12.314244
170,0,False,,,,2025-07-21T15:43:12.343220
171,0,False,,,,2025-07-21T15:43:12.373078
172,0,False,,,,2025-07-21T15:43:12.404812
173,0,False,,,,2025-07-21T15:43:12.445472
174,0,False,,,,2025-07-21T15:43:12.477186
175,0,False,,,,2025-07-21T15:43:12.507988
176,0,False,,,,2025-07-21T15:43:12.544564
177,0,False,,,,2025-07-21T15:43:12.573986
178,0,False,,,,2025-07-21T15:43:12.604530
179,0,False,,,,2025-07-21T15:43:12.644275
180,0,False,,,,2025-07-21T15:43:12.674094
181,0,False,,,,2025-07-21T15:43:12.703677
182,0,False,,,,2025-07-21T15:43:12.740593
183,0,False,,,,2025-07-21T15:43:12.773810
184,0,False,,,,2025-07-21T15:43:12.802528
185,0,False,,,,2025-07-21T15:43:12.839567
186,0,False,,,,2025-07-21T15:43:12.871577
187,0,False,,,,2025-07-21T15:43:12.911143
188,0,False,,,,2025-07-21T15:43:12.946804
189,0,False,,,,2025-07-21T15:43:12.989961
190,0,False,,,,2025-07-21T15:43:13.018798
191,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.046294
192,0,False,,,,2025-07-21T15:43:13.078004
193,0,False,,,,2025-07-21T15:43:13.108536
194,100,True,00001388000013890000138a0000138b0000138c0000138d0000138e0000138f,0,0.0,2025-07-21T15:43:13.139795
195,0,False,,,,2025-07-21T15:43:13.168221
196,0,False,,,,2025-07-21T15:43:13.201455
197,0,False,,,,2025-07-21T15:43:13.241612
198,0,False,,,,2025-07-21T15:43:13.277099
199,0,False,,,,2025-07-21T15:43:13.310913
200,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.340234
201,100,True,491c2d0040a0000040a0000040a0000040a0000040a0000040a0000040a00000,18716,639696.0,2025-07-21T15:43:13.365122
202,100,True,4920320042166666421666664216666642166666421666664216666642166666,18720,656160.0,2025-07-21T15:43:13.393733
203,100,True,4922bc30427c0000427c0000427c0000427c0000427c0000427c0000427c0000,18722,666563.0,2025-07-21T15:43:13.418034
204,100,True,49253de042c8000042c8000042c8000042c8000042c8000042c8000042c80000,18725,676830.0,2025-07-21T15:43:13.444225
205,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.467200
206,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.495244
207,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.521215
208,100,True,4926199042ea000042ea000042ea000042ea000042ea000042ea000042ea0000,18726,680345.0,2025-07-21T15:43:13.550973
209,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.577721
210,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.602615
211,100,True,49218e1042480000424800004248000042480000424800004248000042480000,18721,661729.0,2025-07-21T15:43:13.627753
212,100,True,49218e2042480000424800004248000042480000424800004248000042480000,18721,661730.0,2025-07-21T15:43:13.652381
213,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.677300
214,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.703060
215,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.729270
216,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.753287
217,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.778335
218,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.804033
219,100,True,49201c7042200000422000004220000042200000422000004220000042200000,18720,655815.0,2025-07-21T15:43:13.829005
220,100,True,4920470042280000422800004228000042280000422800004228000042280000,18720,656496.0,2025-07-21T15:43:13.854505
221,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.889969
222,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.913969
223,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.942940
224,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.967547
225,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:13.992494
226,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.016593
227,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.041604
228,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.065647
229,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.095102
230,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.120087
231,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.149000
232,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.177443
233,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.202589
234,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.227084
235,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.251663
236,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.278194
237,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.303374
238,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.328745
239,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.353820
240,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.380663
241,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.407408
242,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.438822
243,100,False,0000000000000000000000000000000000000000000000000000000000000000,0,0.0,2025-07-21T15:43:14.462968
